;Go_score;Player_Load;cardioWorkload;date;exercises;giorni_dopo_game;giorni_prima_game;intensity;kinematicWorkload;mechanicalWorkload;metabolicWorkload;perceivedWorkload;playerName;rpe;workload;giorno;mese;Go_score+1
105;4.4;742.7551000000001;0.0;2017-09-25;['Int-run 20 40', 'Game-11v11', 'Cross and finalizations and set pieces', 'Session', 'Warm-up', 'Position game 2x(4v4+2J) + 2x(4v4+3J)', 'Boxes-5v2', 'Session', 'Possession-10v10'];-4.0;-4.0;123.4;95.2;225.0;96.8;115.8;Player1;10.0;7.199999999999999;25;9;4.4
106;4.4;230.8193;0.0;2017-09-26;['Pass-drill free and cover ball circuit', 'Set-pieces', 'General-strength', 'Session'];-2.0;-2.0;38.1;18.2;36.6;13.5;32.3;Player1;3.0;1.3;26;9;4.4
107;4.4;361.1406;0.0;2017-09-27;['Game-11v11', '11v442', 'Session', 'Boxes-5v2'];-2.0;-2.0;54.6;34.7;96.0;37.3;46.6;Player1;4.0;3.0;27;9;4.4
108;4.4;213.4038;0.0;2017-09-28;['Session', 'Warm-up', '10v11'];-2.0;-2.0;55.0;23.1;80.2;32.5;30.3;Player1;3.0;2.4;28;9;4.4
120;4.1;221.4398;0.0;2017-10-10;['Cross-and finalizations', 'Session', 'Situational-cross and finalizations', 'Warm-up'];-2.0;-2.0;44.5;25.7;64.5;36.3;31.3;Player1;3.0;2.1;10;10;4.4
121;4.4;357.0095;0.0;2017-10-11;['1st-11v11 build up', 'Session', 'Boxes-6v2', '2nd-11v11 build up', '3rd-11v11 build up'];-2.0;-2.0;63.0;72.5;106.3;69.2;56.1;Player1;5.0;3.9;11;10;4.4
122;4.4;286.8695;0.0;2017-10-12;['Session'];-2.0;-2.0;31.2;20.5;38.8;16.7;36.1;Player1;3.0;1.5;12;10;4.4
123;4.4;230.6958;0.0;2017-10-13;['Session'];-2.0;-2.0;66.3;31.0;74.7;31.8;30.0;Player1;3.0;2.3;13;10;4.4
126;4.3;214.9808;0.0;2017-10-16;['defensive-phase counter attack', 'Warm-up', 'Session'];-2.0;-2.0;41.2;55.2;37.5;32.3;32.1;Player1;3.0;2.0;16;10;4.8
127;4.8;472.0453;0.0;2017-10-17;['Session', '3rd-11v11 build up plus negative transition', '2nd-int run 20 40', 'Boxes-5v2', '1st-int run 20 40', 'Game-11v11', '2nd-11v11 build up plus negative transition', '3rd-int run 20 40', '1st-11v11 build up plus negative transition'];-2.0;-2.0;65.3;74.8;171.5;76.0;65.9;Player1;5.0;5.3;17;10;
129;;239.2073;0.0;2017-10-19;['Warm-up', '10v11-plus 10v1', 'Session'];-2.0;-2.0;55.1;22.5;56.7;24.6;30.1;Player1;3.0;1.8;19;10;4.4
132;4.1;264.32099999999997;0.0;2017-10-22;['Session', 'Situational-cross and finalisations', 'Cross-and finalisation', 'Warm-up'];-2.0;-2.0;42.0;22.7;70.6;25.0;32.8;Player1;3.0;2.1;22;10;4.4
133;4.4;155.778;0.0;2017-10-23;['Warm-up', 'Session', '10v11-plus-10v1'];-2.0;-2.0;36.0;12.9;25.7;8.4;30.2;Player1;3.0;1.1;23;10;
136;4.4;312.3871;0.0;2017-10-26;['Session', '10v11-plus-10v1', 'Warm-up'];-2.0;-2.0;32.7;28.6;74.4;30.2;40.6;Player1;3.0;2.4;26;10;4.4
137;4.4;326.2346;0.0;2017-10-27;['Boxes-5v2', 'Session', 'Set-pieces', '11v1'];-2.0;-2.0;40.0;54.1;76.3;45.9;67.8;Player1;5.0;3.1;27;10;
138;;267.3727;0.0;2017-10-28;['10v11', 'Warm-up', 'Set-pieces', 'Session'];-2.0;-2.0;47.6;25.7;61.6;23.1;43.6;Player1;4.0;2.1;28;10;4.8
141;4.5;170.6309;0.0;2017-10-31;['Session', 'Warm-up'];2.0;3.0;36.4;26.0;20.1;20.0;30.2;Player1;3.0;1.2;31;10;4.4
142;4.4;244.5714;0.0;2017-11-01;['Set-pieces', '11v1', 'Session'];3.0;2.0;61.7;33.8;36.7;35.9;30.4;Player1;3.0;1.7;1;11;
157;4.4;355.0991;0.0;2017-11-16;['11v442', 'Passing-drill damiano', 'Session', 'Game-11v11'];-2.0;-2.0;59.8;38.4;101.4;39.3;48.2;Player1;4.0;3.1;16;11;4.4
158;4.4;280.4832;0.0;2017-11-17;['Warm-up', 'Set-pieces', '10v11', 'Session'];-2.0;-2.0;58.1;28.7;81.7;27.8;43.5;Player1;4.0;2.5;17;11;4.4
161;4.1;186.925;0.0;2017-11-20;['Session', '11v1-plus sprint', 'Warm-up'];-2.0;-2.0;69.6;33.9;80.9;40.6;38.6;Player1;4.0;2.6;20;11;4.4
162;4.4;430.2802;0.0;2017-11-21;['3rd-5v4 plus 4 per 2', '1st-int-run 20 40', 'Session', '2nd-int run 20 40', 'Warm-up', '2nd-5v4 plus 4 per 2', '1st-5v4 plus 4 per 2', 'Game-11v11'];-2.0;-2.0;57.6;78.2;107.7;71.1;66.2;Player1;5.0;4.1;21;11;4.4
163;4.4;190.3639;0.0;2017-11-22;['Session'];-2.0;-2.0;33.8;13.9;29.5;8.5;20.8;Player1;2.0;1.0;22;11;4.4
164;4.4;215.894;0.0;2017-11-23;['Session', 'Warm-up', '10v11'];-2.0;-2.0;62.5;21.1;69.6;23.2;29.5;Player1;3.0;2.0;23;11;4.4
167;3.8;179.933;0.0;2017-11-26;['Session', '11v1', 'Warm-up', 'Football-tennis'];-2.0;-2.0;28.60979056931629;11.393545671308267;17.716882381878964;6.499671740998982;20.737780873457886;Player1;2.0;0.7566381617861575;26;11;4.4
168;4.4;311.9784;0.0;2017-11-27;['10v11', 'Session', 'Set-pieces', 'Warm-up'];-2.0;-2.0;51.02488463398439;0.0;78.47143668027667;23.353869172651738;35.00330742390275;Player1;3.0;2.570408707873168;27;11;4.4
172;4.6;207.9118;0.0;2017-12-01;['Session', '10v11', 'Warm-up'];-2.0;-2.0;42.109774403360454;30.65543810511712;61.724013492859214;24.31315205733232;22.21379446197999;Player1;2.0;1.9095470265296863;1;12;4.4
176;4.4;345.8006;0.0;2017-12-05;['Session', 'Passing-drill damiano', 'Warm-up', 'Int-run 20 40', 'Game-11v11'];-2.0;-2.0;68.86568288610876;36.942493430375464;129.09714629719747;39.76199891390811;44.80548486427641;Player1;4.0;3.675881614871957;5;12;4.4
177;4.4;200.8671;0.0;2017-12-06;['Cross-and finalisations', 'Warm-up', 'Situational-cross and finalisations', 'Session'];-2.0;-2.0;45.677776754955985;24.450611667634412;52.36854840697168;22.305548221944278;30.92069389946625;Player1;3.0;1.7309542285038848;6;12;3.6999999999999997
178;3.6999999999999997;205.9275;0.0;2017-12-07;['Set-pieces', 'Boxes-5v2', 'Session'];-2.0;-2.0;29.92036915859839;0.0;30.667908851653603;0.0;32.275104530411355;Player1;3.0;1.5740882304457688;7;12;4.6
179;4.6;225.8495;0.0;2017-12-08;['Football-tennis', 'Game-11v11', 'Session'];-2.0;-2.0;53.929928421113786;30.14902286773663;49.7794353548964;18.703566944327445;41.47908305478509;Player1;4.0;1.8468374169844903;8;12;4.4
180;4.4;233.2914;0.0;2017-12-09;['Set-pieces', 'Warm-up', 'Session', '10v11'];-2.0;-2.0;50.39131967346385;35.058194889933105;60.83362400006711;21.781589063401533;32.25208623215761;Player1;3.0;2.006931975425347;9;12;4.6
183;3.8;265.4778;0.0;2017-12-12;['Warm-up', 'Session', 'Passing-drill square', 'Int-run 20 40', 'Game-11v11'];-2.0;-2.0;73.48202551848551;0.0;120.5359379298495;32.20808549981759;40.71088259709448;Player1;4.0;3.788540733363628;12;12;4.4
184;4.4;247.9921;0.0;2017-12-13;['5-plus 2 v 8 plus 1', 'Warm-up', 'Session'];-2.0;-2.0;53.422267938319074;25.00228565185295;74.06034244396452;28.041952829024485;42.3581227722519;Player1;4.0;2.3305860708720543;13;12;
185;;267.8537;0.0;2017-12-14;['Set-pieces', 'Session', 'Warm-up', '11v1'];-2.0;-2.0;37.11825433074653;28.369036869972454;47.01512193232927;24.12215346764424;34.30624293317108;Player1;3.0;1.7273571821115876;14;12;4.4
186;4.4;188.0167;0.0;2017-12-15;['Warm-up', 'Session', '10v11'];-2.0;-2.0;47.8302250626753;20.003615457843694;42.60167877529942;18.31732580936788;19.916280802329286;Player1;2.0;1.3572099901228545;15;12;4.4
208;4.3;211.9072;0.0;2018-01-06;['Position-game 4v4 ', 'Session', 'Passing-drill squa', 'Possession-10v10 conquer line', 'Warm-up'];-1.0;-1.0;58.5;19.5;40.2;12.6;29.6;Player1;3.0;1.4;6;1;4.4
209;4.4;275.9563;0.0;2018-01-07;['Finalisations-2', 'Finalisations', 'Cross-and finalisa', 'Warm-up', 'Session'];-2.0;7.0;40.5;25.9;61.3;28.0;40.6;Player1;3.5;2.1;7;1;4.8
210;4.8;483.8718;0.0;2018-01-08;['Offensive-phase 7v6 1', 'Game-11v11', 'Int-run 20 40 2', 'Offensive-phase 9v7 plus 5v2', 'Warm-up', '5v5-plus 1J 2', 'Boxes-8 plus 1 v 3', 'Session', 'Int-run 20 40 1', 'Int-run 20 40 3'];-2.0;6.0;62.2;61.0;181.8;65.7;68.7;Player1;5.0;5.3;8;1;4.5
211;4.5;322.0124;0.0;2018-01-09;['Cross-and finalisations', 'Finalisations', 'Warm-up', 'Session', '1st-work'];-2.0;5.0;42.8;32.6;69.3;26.9;43.1;Player1;3.5;2.3;9;1;4.4
212;4.4;548.6008999999999;0.0;2018-01-10;['Game-11v11', 'Set-pieces', 'Session', 'Warm-up', 'Yo-yo-IRT L2', 'Int-run 20 40', 'Session', '2nd-defensive phase 5v4 plus 5J', 'Int-run 20 20', '3rd-defensive phase 5v4 plus 5J', 'Warm-up', '1st-defensive phase 5v4 plus 5J'];-4.0;8.0;119.3;45.6;282.2;98.4;121.19999999999999;Player1;11.0;8.5;10;1;4.3
214;4.4;236.1014;0.0;2018-01-12;['Session', 'Boxes-6v2'];-2.0;2.0;34.3;0.0;2.8;0.0;21.7;Player1;2.0;0.6;12;1;4.6
215;4.6;181.583;0.0;2018-01-13;['Warm-up', '10v11', 'Session'];-2.0;1.0;64.8;25.6;57.9;25.9;33.8;Player1;3.5;1.9;13;1;4.5
216;4.5;280.5021;0.0;2018-01-14;['1st.half', 'game'];0.0;0.0;81.5;46.7;47.7;49.0;0.0;Player1;0.0;2.4;14;1;4.1
218;4.5;341.4053;0.0;2018-01-16;['Session', 'Game-11v11', 'Defensive-phase 7v8', 'Warm-up', 'Defensive-phase 5v6'];2.0;5.0;58.4;38.9;61.8;36.6;0.0;Player1;0.0;2.4;16;1;4.4
219;4.4;489.5952;0.0;2018-01-17;['2nd-block', '6th-block', '1st-block', '5th-block', 'Session', '5v5-plus GKs', 'Passing-drill Freccia', '4th-block', 'Warm-up', '3rd-block', '1st-block', 'Session', 'Set-pieces', 'Int-run 15 15', '3rd-block', '2nd-block', 'Passing-drill square'];6.0;8.0;118.1;0.0;62.0;61.8;107.3;Player1;10.5;3.8;17;1;4.3
221;3.5;425.1143;0.0;2018-01-19;['Offensive-phase 11v1', 'Game-11v11', 'Warm-up', 'Session', 'Boxes-6v2'];5.0;2.0;60.0;56.9;44.8;51.7;50.9;Player1;4.0;2.6;19;1;
222;;231.2998;0.0;2018-01-20;['Session', 'Warm-up', '10v11', 'Offensive phase build up with opponents'];6.0;1.0;48.4;23.8;25.7;17.5;31.8;Player1;3.0;1.3;20;1;4.4
223;4.4;88.995;0.0;2018-01-21;['2nd.half', 'game'];0.0;0.0;81.1;15.0;10.8;11.5;45.0;Player1;5.0;1.2;21;1;3.4
225;4.4;309.7579;0.0;2018-01-23;['Game-11v11', 'Offensive-phase 11v1', 'Warm-up', 'Session', 'Boxes-6v2'];2.0;2.0;57.4;33.0;39.0;31.7;44.4;Player1;4.0;1.9;23;1;4.1
226;4.1;199.8897;0.0;2018-01-24;['Session', 'Warm-up'];3.0;1.0;51.3;18.1;23.8;12.7;40.1;Player1;4.0;1.3;24;1;4.4
227;4.4;500.5219;0.0;2018-01-25;['2nd.half', 'game', '1st.half'];0.0;0.0;87.9;68.6;86.4;78.1;62.2;Player1;5.0;3.7;25;1;4.0
231;4.5;289.2537;0.0;2018-01-29;['Passing-drill square', 'Session', 'Possession-10v10 conquer line', 'Game-11v11', 'Warm-up'];-2.0;6.0;64.8;28.6;46.9;26.0;42.0;Player1;4.0;1.8;29;1;4.6
232;4.6;344.0094;0.0;2018-01-30;['Game-11v11', 'Cross-and finalisations', 'Session', 'Warm-up'];-2.0;5.0;53.7;44.9;45.3;42.8;45.8;Player1;4.0;2.2;30;1;4.8
233;4.8;430.1159;0.0;2018-01-31;['int-run 15 15 2', '2nd-block', 'Int-run 15 15 1', '5v5-plus GK', 'Session', '2nd-block defensive phase 5v7 plus 1 per 2', '1st-block', 'Int-run 15 15 3', '1st-block defensive phase 5v7 plus 1 per 2', 'Passing-drill freccia'];-2.0;4.0;58.1;43.5;48.4;55.0;61.8;Player1;5.0;2.6;31;1;4.6
234;4.6;193.5749;0.0;2018-02-01;['Session'];-2.0;3.0;28.9;11.3;22.8;5.8;20.6;Player1;2.0;0.8;1;2;
235;;307.3287;0.0;2018-02-02;['Session', 'Game-11v11', 'offensive-phase 11v1', 'Boxes-5v2'];-2.0;2.0;38.2;0.0;27.1;18.0;45.2;Player1;4.0;1.6;2;2;3.8
236;3.8;274.2184;0.0;2018-02-03;['Warm-up', 'Session', '10v11'];-2.0;1.0;57.8;27.4;38.0;27.9;40.9;Player1;4.0;1.7;3;2;4.4
239;;364.9345;0.0;2018-02-06;['2nd-block game position 4v4 plus 3J', 'Possession-10v10', '1st-block game position 4v4 plus 3J', 'Session', 'Passing-drill freccia', 'Warm-up'];2.0;5.0;0.0;0.0;0.0;0.0;0.0;Player1;6.0;0.0;6;2;5.0
240;5.0;355.1213;0.0;2018-02-07;['Defensive-phase 7v8', 'Session', 'Warm-up', 'Game-7v7'];3.0;4.0;62.0;32.3;59.5;34.7;44.3;Player1;4.0;2.2;7;2;4.4
241;4.4;180.592;0.0;2018-02-08;['Session', 'Set-pieces', 'Boxes-9v2'];4.0;3.0;30.8;0.0;21.8;4.7;10.2;Player1;1.0;0.7;8;2;4.4
242;4.4;351.167;0.0;2018-02-09;['Session', 'Boxes-5v2', 'Game-11v11', 'Offensive-phase 11v1'];5.0;2.0;66.9;42.9;40.7;37.6;42.7;Player1;4.0;2.1;9;2;4.4
243;4.4;300.9223;0.0;2018-02-10;['Session', '10v11', 'Warm-up'];6.0;1.0;67.2;36.0;34.2;33.8;36.1;Player1;3.5;1.8;10;2;4.4
